State,Year,Population
AL,2009,4757938.0
AK,2009,698895.0
AZ,2009,6343154.0
AR,2009,2896843.0
CA,2009,36961229.0
CO,2009,4972195.0
CT,2009,3561807.0
DE,2009,891730.0
DC,2009,592228.0
FL,2009,18652644.0
GA,2009,9620846.0
HI,2009,1346717.0
ID,2009,1554439.0
IL,2009,12796778.0
IN,2009,6459325.0
IA,2009,3032870.0
KS,2009,2832704.0
KY,2009,4317074.0
LA,2009,4491648.0
ME,2009,1329590.0
MD,2009,5730388.0
MA,2009,6517613.0
MI,2009,9901591.0
MN,2009,5281203.0
MS,2009,2958774.0
MO,2009,5961088.0
MT,2009,983982.0
NE,2009,1812683.0
NV,2009,2684665.0
NH,2009,1316102.0
NJ,2009,8755602.0
NM,2009,2036802.0
NY,2009,19307066.0
NC,2009,9449566.0
ND,2009,664968.0
OH,2009,11528896.0
OK,2009,3717572.0
OR,2009,3808600.0
PA,2009,12666858.0
RI,2009,1053646.0
SC,2009,4589872.0
SD,2009,807067.0
TN,2009,6306019.0
TX,2009,24801761.0
UT,2009,2723421.0
VT,2009,624817.0
VA,2009,7925937.0
WA,2009,6667426.0
WV,2009,1847775.0
WI,2009,5669264.0
WY,2009,559851.0
AL,2010,4785448.0
AK,2010,713906.0
AZ,2010,6407774.0
AR,2010,2921978.0
CA,2010,37320903.0
CO,2010,5048281.0
CT,2010,3579125.0
DE,2010,899595.0
DC,2010,605085.0
FL,2010,18845785.0
GA,2010,9711810.0
HI,2010,1363963.0
ID,2010,1570773.0
IL,2010,12840762.0
IN,2010,6490436.0
IA,2010,3050767.0
KS,2010,2858213.0
KY,2010,4348200.0
LA,2010,4544532.0
ME,2010,1327632.0
MD,2010,5788642.0
MA,2010,6566431.0
MI,2010,9877535.0
MN,2010,5310843.0
MS,2010,2970536.0
MO,2010,5995976.0
MT,2010,990722.0
NE,2010,1829536.0
NV,2010,2702464.0
NH,2010,1316777.0
NJ,2010,8799624.0
NM,2010,2064588.0
NY,2010,19400080.0
NC,2010,9574293.0
ND,2010,674710.0
OH,2010,11539327.0
OK,2010,3759632.0
OR,2010,3837532.0
PA,2010,12711158.0
RI,2010,1053938.0
SC,2010,4635656.0
SD,2010,816165.0
TN,2010,6355301.0
TX,2010,25242679.0
UT,2010,2775334.0
VT,2010,625880.0
VA,2010,8023680.0
WA,2010,6742902.0
WV,2010,1854214.0
WI,2010,5690479.0
WY,2010,564483.0
AL,2011,4798834.0
AK,2011,722038.0
AZ,2011,6473497.0
AR,2011,2940407.0
CA,2011,37641823.0
CO,2011,5121771.0
CT,2011,3588023.0
DE,2011,907316.0
DC,2011,619602.0
FL,2011,19093352.0
GA,2011,9801578.0
HI,2011,1379252.0
ID,2011,1583828.0
IL,2011,12867291.0
IN,2011,6516045.0
IA,2011,3066054.0
KS,2011,2869035.0
KY,2011,4369488.0
